reading_id,station_id,recorded_at,temperature_c
reading_080,south,2026-02-04 07:00:00,26.8
reading_081,south,2026-02-04 09:00:00,23.0
reading_082,north,2026-02-04 10:00:00,20.1
reading_083,south,2026-02-04 11:00:00,18.3
reading_084,central,2026-02-04 12:00:00,19.4
reading_085,central,2026-02-04 13:00:00,22.1
reading_086,central,2026-02-04 14:00:00,21.1
reading_087,north,2026-02-04 15:00:00,13.1
reading_088,south,2026-02-04 16:00:00,79.0
reading_089,north,2026-02-04 17:00:00,11.0
reading_090,central,2026-02-04 18:00:00,21.1
reading_091,central,2026-02-04 19:00:00,23.6
reading_092,central,2026-02-04 20:00:00,16.5
reading_093,central,2026-02-04 21:00:00,10.1
reading_094,north,2026-02-04 22:00:00,20.0
reading_095,  NORTH  ,2026-02-04 22:00:00,18.3
reading_096,south,2026-02-05 00:00:00,19.7
reading_097,north,2026-02-05 01:00:00,23.5
reading_098,south,2026-02-05 02:00:00,28.3
reading_099,north,2026-02-05 03:00:00,18.3
reading_100,south,2026-02-05 04:00:00,8.9
reading_101,north,2026-02-05 05:00:00,27.7
reading_102,central,2026-02-05 06:00:00,25.3
reading_103,south,2026-02-05 07:00:00,17.2
reading_104,central,2026-02-05 08:00:00,18.9
reading_105,south,2026-02-05 09:00:00,15.6
reading_106,central,2026-02-05 10:00:00,13.9
reading_107,central,2026-02-05 11:00:00,8.1
reading_108,north,2026-02-05 12:00:00,14.6
reading_109,central,2026-02-05 13:00:00,15.4
reading_110,south,2026-02-05 14:00:00,18.7
reading_111,central,2026-02-05 15:00:00,17.8
reading_112,central,2026-02-05 16:00:00,19.1
reading_113,central,2026-02-05 17:00:00,14.7
reading_114,south,2026-02-05 18:00:00,17.8
reading_115,south,2026-02-05 19:00:00,13.7
reading_116,south,2026-02-05 20:00:00,23.9
reading_117,central,2026-02-05 21:00:00,25.1
reading_118,south,2026-02-05 22:00:00,17.6
reading_119,north,2026-02-05 23:00:00,13.4
