memory_id,text,timestamp,type,importance
quality_051,The user mentioned travel item 51.,2026-03-24,preference,0.541
quality_052,The user mentioned food item 52.,2026-03-25,semantic,0.591
quality_053,The user mentioned family item 53.,2026-03-26,preference,0.433
quality_054,The user mentioned food item 54.,2026-03-27,semantic,0.543
quality_055,The user mentioned work item 55.,2026-03-28,semantic,0.396
quality_056,The user mentioned travel item 56.,2026-03-29,semantic,0.763
quality_057,The user mentioned travel item 57.,2026-03-30,preference,0.807
quality_058,The user mentioned travel item 58.,2026-03-31,semantic,0.536
quality_059,The user mentioned food item 59.,2026-04-01,episodic,0.386
quality_060,The user mentioned travel item 60.,2026-04-02,episodic,0.563
quality_061,The user mentioned work item 61.,2026-04-03,preference,0.847
quality_062,The user mentioned work item 62.,2026-04-04,episodic,0.534
quality_063,The user mentioned travel item 63.,2026-04-05,preference,0.497
quality_064,The user mentioned family item 64.,2026-04-06,semantic,0.482
quality_065,The user mentioned food item 65.,2026-04-07,preference,0.246
quality_066,The user mentioned family item 66.,2026-04-08,semantic,0.722
quality_067,The user mentioned work item 67.,2026-04-09,semantic,unknown
quality_068,The user mentioned family item 68.,2026-04-10,episodic,0.117
quality_069,The user mentioned family item 69.,2026-04-11,semantic,0.119
quality_070,The user mentioned travel item 70.,2026-04-12,semantic,0.538
quality_071,The user mentioned family item 71.,2026-04-13,preference,0.326
quality_072,The user mentioned travel item 72.,2026-04-14,semantic,0.571
quality_073,The user mentioned work item 73.,2026-04-15,preference,0.608
quality_074,The user mentioned travel item 74.,2026-04-16,semantic,0.563
quality_075,The user mentioned work item 75.,2026-04-17,preference,0.447
quality_076,The user mentioned travel item 76.,2026-04-18,semantic,0.692
quality_077,The user mentioned family item 77.,2026-04-19,episodic,0.621
quality_078,The user mentioned work item 78.,2026-04-20,preference,0.375
quality_079,The user mentioned family item 79.,2026-04-21,semantic,0.525
quality_080,The user mentioned family item 79.,2026-04-21,semantic,0.629
quality_081,The user mentioned family item 81.,2026-04-23,preference,0.759
quality_082,The user mentioned food item 82.,2026-04-24,semantic,0.326
quality_083,The user mentioned family item 83.,2026-04-25,episodic,0.522
quality_084,The user mentioned food item 84.,2026-04-26,episodic,0.939
quality_085,The user mentioned food item 85.,2026-04-27,episodic,0.814
quality_086,The user mentioned work item 86.,2026-04-28,episodic,0.401
quality_087,The user mentioned travel item 87.,2026-04-29,episodic,0.665
quality_088,The user mentioned family item 88.,2026-04-30,episodic,1.6
quality_089,The user mentioned travel item 89.,2026-05-01,semantic,0.728
quality_090,The user mentioned work item 90.,2026-05-02,preference,0.588
quality_091,The user mentioned food item 91.,2026-05-03,semantic,0.524
quality_092,The user mentioned work item 92.,2026-05-04,episodic,0.358
quality_093,The user mentioned work item 93.,2026-05-05,episodic,0.849
quality_094,The user mentioned travel item 94.,2026-05-06,preference,0.6
quality_095,  THE USER MENTIONED TRAVEL ITEM 94.  ,2026-05-07,semantic,0.339
quality_096,The user mentioned family item 96.,2026-05-08,preference,0.301
quality_097,The user mentioned travel item 97.,2026-05-09,semantic,0.347
quality_098,The user mentioned family item 98.,2026-05-10,episodic,0.339
quality_099,The user mentioned travel item 99.,2026-05-11,preference,0.502
quality_100,The user mentioned family item 100.,2026-05-12,episodic,0.689
quality_101,The user mentioned travel item 101.,2026-05-13,preference,0.504
quality_102,The user mentioned food item 102.,2026-05-14,episodic,0.56
quality_103,The user mentioned work item 103.,2026-05-15,preference,0.454
quality_104,The user mentioned food item 104.,2026-05-16,semantic,0.754
quality_105,The user mentioned family item 105.,2026-05-17,episodic,0.54
quality_106,The user mentioned food item 106.,2026-05-18,episodic,0.262
quality_107,The user mentioned food item 107.,2026-05-19,episodic,0.579
quality_108,The user mentioned travel item 108.,2026-05-20,episodic,0.306
quality_109,The user mentioned work item 109.,2026-05-21,semantic,0.586
quality_110,The user mentioned work item 110.,2026-05-22,preference,0.498
quality_111,The user mentioned food item 111.,2026-05-23,preference,0.587
quality_112,The user mentioned work item 112.,2026-05-24,semantic,0.3
quality_113,The user mentioned food item 113.,2026-05-25,preference,0.823
quality_114,The user mentioned family item 114.,2026-05-26,episodic,0.841
quality_115,The user mentioned work item 115.,2026-05-27,semantic,0.555
quality_116,The user mentioned family item 116.,2026-05-28,semantic,0.462
quality_117,The user mentioned work item 117.,2026-05-29,preference,0.715
quality_118,The user mentioned family item 118.,2026-05-30,episodic,0.492
quality_119,The user mentioned travel item 119.,2026-05-31,preference,0.266
